	Query strain ID	Array strain ID	P-value	Combined mutant fitness	Combined mutant fitness standard deviation	g1	g2	g3
265200	YDR363W+YDL227C_tm3182	YCL011C_dma477	0.4091	0.8917	0.0211	YCL011C	YDL227C	YDR363W
211868	YDL227C+YOR382W_tm2903	YHR191C_tsa323	0.4091	0.805	0.0261	YDL227C	YHR191C	YOR382W
371798	YJR053W+YDL227C_tm3229	YLR135W_dma3225	0.4091	0.9774	0.0144	YDL227C	YJR053W	YLR135W
59944	YDL227C+YDR363W_tm2820	YNL119W_dma4030	0.409	0.6539	0.0482	YDL227C	YDR363W	YNL119W
443542	YMR223W+YDL227C_tm3282	YML107C_dma3609	0.409	0.8434	0.0701	YDL227C	YML107C	YMR223W
443757	YMR223W+YDL227C_tm3282	YPL194W_dma4924	0.409	0.7847	0.0456	YDL227C	YMR223W	YPL194W
258681	YDR216W+YDL227C_tm3210	YBL041W_tsa1064	0.409	0.8184	0.0488	YBL041W	YDL227C	YDR216W
330955	YHR067W+YDL227C_tm3222	YLR200W_dma3275	0.409	0.4787	0.0271	YDL227C	YHR067W	YLR200W
58603	YDL227C+YDR279W_tm2818	YLR014C_dma3117	0.409	0.9749	0.0432	YDL227C	YDR279W	YLR014C
189509	YDL227C+YOR023C_tm2746	YHR154W_dma2190	0.409	0.9592	0.02	YDL227C	YHR154W	YOR023C
305097	YGL212W+YDL227C_tm3417	YOR144C_dma4571	0.4089	0.6501	0.0457	YDL227C	YGL212W	YOR144C
166664	YDL227C+YNL051W_tm2740	YHR121W_dma2171	0.4089	0.8862	0.0631	YDL227C	YHR121W	YNL051W
472451	YOR144C+YDL227C_tm3227	YDR310C_dma1063	0.4089	0.916	0.0429	YDL227C	YDR310C	YOR144C
26395	YCR008W+YDL227C_tm3155	YDR469W_dma1195	0.4089	0.7602	0.1266	YCR008W	YDL227C	YDR469W
60016	YDL227C+YDR363W_tm2820	YOR074C_tsa927	0.4089	0.2322	0.0733	YDL227C	YDR363W	YOR074C
362385	YJL030W+YDL227C_tm3211	YOR064C_dma4482	0.4089	0.9372	0.0533	YDL227C	YJL030W	YOR064C
202000	YDL227C+YOR195W_tm2896	YLR135W_dma3225	0.4089	0.937	0.0435	YDL227C	YLR135W	YOR195W
317201	YGR206W+YDL227C_tm3351	YDR198C_dma962	0.4089	0.9646	0.0491	YDL227C	YDR198C	YGR206W
401044	YLR119W+YDL227C_tm3057	YIL097W_dma2350	0.4088	0.8556	0.0426	YDL227C	YIL097W	YLR119W
76729	YDL227C+YGR206W_tm2807	YLR330W_dma3362	0.4088	0.7685	0.0996	YDL227C	YGR206W	YLR330W
195724	YDL227C+YOR085W_tm2893	YAR002W_dma68	0.4088	0.9711	0.0428	YAR002W	YDL227C	YOR085W
27112	YCR008W+YDL227C_tm3155	YOL090W_dma4377	0.4088	0.7349	0.2796	YCR008W	YDL227C	YOL090W
104152	YDL227C+YJL170C_tm2840	YNL136W_dma4040	0.4087	0.8263	0.0868	YDL227C	YJL170C	YNL136W
363073	YJL030W+YDL227C_tm3288	YIL040W_dma2275	0.4087	0.5467	0.1493	YDL227C	YIL040W	YJL030W
400639	YLR119W+YDL227C_tm3057	YCR098C_dma607	0.4087	0.9164	0.0302	YCR098C	YDL227C	YLR119W
305073	YGL212W+YDL227C_tm3417	YOR027W_dma4442	0.4087	0.6953	0.0399	YDL227C	YGL212W	YOR027W
358635	YIR006C+YDL227C_tm3086	YGL086W_dma1666	0.4087	0.7572	0.0579	YDL227C	YGL086W	YIR006C
401428	YLR119W+YDL227C_tm3057	YOL093W_dma4374	0.4087	0.8281	0.0427	YDL227C	YLR119W	YOL093W
76364	YDL227C+YGR206W_tm2807	YGR058W_dma1845	0.4086	0.9332	0.0423	YDL227C	YGR058W	YGR206W
78421	YDL227C+YHL029C_tm2827	YDL099W_dma691	0.4086	1.0802	0.0519	YDL099W	YDL227C	YHL029C
